"","week","category_id","year","total_sales","avg_sales"
"258","01",95714,2016,577,758.5
"259","01",95715,2016,9,19.5
"260","01",95715,2017,30,19.5
"261","01",95716,2017,1856,1747.5
"262","01",95716,2016,1639,1747.5
"263","01",95717,2017,2796,2943
"264","01",95717,2016,3090,2943
"265","01",95718,2017,913,678.5
"266","01",95718,2016,444,678.5
"267","01",95719,2017,7713,6329
"268","01",95719,2016,4945,6329
"269","01",95720,2017,767,718.5
"270","01",95720,2016,670,718.5
"271","01",95721,2017,2241,2198.5
"272","01",95721,2016,2156,2198.5
"273","01",95722,2017,32,31
"274","01",95722,2016,30,31
"275","01",95723,2017,34,32.5
"276","01",95723,2016,31,32.5
"277","01",95724,2017,195,199.5
"278","01",95724,2016,204,199.5
"279","01",95725,2017,126,123
"280","01",95725,2016,120,123
"281","01",95726,2017,27,28
"282","01",95726,2016,29,28
"283","01",95727,2017,152,104.5
"284","01",95727,2016,57,104.5
"285","01",95728,2017,26,16.5
"286","01",95728,2016,7,16.5
"287","01",95729,2016,154,163
"288","01",95729,2017,172,163
"289","01",95730,2017,469,437
"290","01",95730,2016,405,437
"291","01",95731,2017,1288,1124.5
"292","01",95731,2016,961,1124.5
"293","01",95732,2017,2605,2189.5
"294","01",95732,2016,1774,2189.5
"295","01",95733,2017,300,270.5
"296","01",95733,2016,241,270.5
"297","01",95734,2017,134,164.5
"298","01",95734,2016,195,164.5
"299","01",95735,2016,43,43.5
"300","01",95735,2017,44,43.5
"301","01",95736,2017,97,58
"302","01",95736,2016,19,58
"303","01",95737,2017,1073,960.5
"304","01",95737,2016,848,960.5
"305","01",95739,2017,76,58.5
"306","01",95739,2016,41,58.5
"307","01",95740,2017,215,233
"308","01",95740,2016,251,233
"309","01",95741,2017,394,436.5
"310","01",95741,2016,479,436.5
"311","01",95742,2017,1555,1544
"312","01",95742,2016,1533,1544
"313","01",95743,2017,866,819.5
"314","01",95743,2016,773,819.5
"315","01",95744,2016,34,39
"316","01",95744,2017,44,39
"317","01",95746,2017,1052,999.5
"318","01",95746,2016,947,999.5
"319","01",95747,2017,936,891
"320","01",95747,2016,846,891
"321","01",95748,2017,24,19.5
"322","01",95748,2016,15,19.5
"323","01",95749,2016,7,7
"324","01",95749,2017,7,7
"325","01",95750,2017,42,39
"326","01",95750,2016,36,39
"327","01",95752,2017,28,24
"328","01",95752,2016,20,24
"329","01",95753,2017,3,2.5
"330","01",95753,2016,2,2.5
"331","01",95754,2017,3,2.5
"332","01",95754,2016,2,2.5
"333","01",95755,2017,132,107.5
"334","01",95755,2016,83,107.5
"335","01",95756,2017,174,160
"336","01",95756,2016,146,160
"337","01",95757,2017,72,74.5
"338","01",95757,2016,77,74.5
"339","01",95758,2017,562,404.5
"340","01",95758,2016,247,404.5
"341","01",95759,2017,11,10.5
"342","01",95759,2016,10,10.5
"343","01",95760,2016,5,7
"344","01",95760,2017,9,7
"345","01",95761,2017,38,36
"346","01",95761,2016,34,36
"347","01",95762,2016,225,255
"348","01",95762,2017,285,255
"349","01",95763,2017,172,142
"350","01",95763,2016,112,142
"351","01",95764,2016,655,639
"352","01",95764,2017,623,639
"353","01",95765,2016,24,29
"354","01",95765,2017,34,29
"355","01",95767,2016,6,5.5
"356","01",95767,2017,5,5.5
"357","01",95769,2016,30,32.5
"358","01",95769,2017,35,32.5
"359","01",95770,2016,2,3.5
"360","01",95770,2017,5,3.5
"361","01",95771,2017,15,12
"362","01",95771,2016,9,12
"363","01",95774,2017,316,295
"364","01",95774,2016,274,295
"365","01",95775,2017,84,79
"366","01",95775,2016,74,79
"367","01",95776,2017,208,169
"368","01",95776,2016,130,169
"369","01",95777,2016,96,63.5
"370","01",95777,2017,31,63.5
"371","01",95778,2017,478,378
"372","01",95778,2016,278,378
"373","01",95779,2017,1265,987
"374","01",95779,2016,709,987
"375","01",95780,2017,225,204
"376","01",95780,2016,183,204
"377","01",95781,2017,1712,1680
"378","01",95781,2016,1648,1680
"379","01",95782,2017,850,729
"380","01",95782,2016,608,729
"381","01",95783,2017,44,40.5
"382","01",95783,2016,37,40.5
"383","01",95784,2017,59,84.5
"384","01",95784,2016,110,84.5
"385","01",95785,2017,167,143
"386","01",95785,2016,119,143
"387","01",95786,2017,1254,1198.5
"388","01",95786,2016,1143,1198.5
"389","01",95787,2017,198,167.5
"390","01",95787,2016,137,167.5
"391","01",95788,2017,1333,1439
"392","01",95788,2016,1545,1439
"393","01",95789,2017,19,19
"394","01",95789,2016,19,19
"395","01",95790,2017,59,48.5
"396","01",95790,2016,38,48.5
"397","01",95791,2017,167,160
"398","01",95791,2016,153,160
"399","01",95792,2017,78,54
"400","01",95792,2016,30,54
"401","01",95793,2017,129,126.5
"402","01",95793,2016,124,126.5
"403","01",95794,2017,125,112.5
"404","01",95794,2016,100,112.5
"405","01",95795,2017,553,487.5
"406","01",95795,2016,422,487.5
"407","01",95797,2017,3321,3098
"408","01",95797,2016,2875,3098
"409","01",95798,2017,2644,2528
"410","01",95798,2016,2412,2528
"411","01",95799,2016,247,476
"412","01",95799,2017,705,476
"413","01",95800,2017,3845,3803
"414","01",95800,2016,3761,3803
"415","01",95801,2017,8192,7694
"416","01",95801,2016,7196,7694
"417","01",95802,2017,212,180.5
"418","01",95802,2016,149,180.5
